Chemicals- Various,,,,,,,,,,,,,,,,,,,,,,,,,Target  Pay,,,o/o Hourly,,Revenue Share,,
Ship Point,Delivery Point,Product,dist. 1 way,rate $,drive hrs,Speed,fuel Sur,driving $,chains,load,unload ,load $,unload $,MT,Misc. $130,Per Trip,MT Rate,Rev (40MT),Hourly,driver Pay,standby ,hrs,o/o Bizi,o/o Own,Target Bizi,Target o/o,o/o Own,(h) w Bizi,(h) own,% o/o Bizi,% own,Bizi driver
"Tacoma, WA","Penticton, BC",20,ACH,"$3,314.89",Variable,4.0,$610.75,"$2,006.86",,,,,,,,,,,,,,,,,,,,,,,,
"Tacoma, WA","Peachland, BC",20,ACH,"$3,484.95",Variable,4.0,$641.38,"$2,107.49",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Whitehorse, YT",28,ISOPAC,"$10,843.63",Variable,4.0,"$1,988.00","$6,532.11",,,,,,,,,,,,,,,,,,,,,,,,
"Woodland, WA","Tofino, BC",28,AluTreat,"$4,560.19",Variable,4.0,$839.07,"$2,757.04",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",28,Alum,"$5,410.41",Variable,4.0,$993.07,"$3,263.04",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",40,Alum,"$6,144.83",Variable,6.5,"$1,141.50","$3,750.75",,,,,,,,,,,,,,,,,,,,,,,,
"Tacoma, WA","West Kelowna, BC",28,Alum,"$3,774.23",Variable,4.0,$693.47,"$2,278.64",,,,,,,,,,,,,,,,,,,,,,,,
"Lower Mainland, BC","Lavington, BC",28,Epiamine,"$6,097.27",Incl.,4.0,$562.80,"$1,849.31",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Penticton, BC",28,ACH,"$5,714.42",Incl.,4.0,"$1,048.13","$3,593.71",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Penticton, BC",40,ACH,"$6,072.54",Incl.,4.0,"$1,113.00","$3,816.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Whistler, BC",40,PAC/ACH,"$8,628.73",Incl.,6.5,"$1,599.89","$5,485.46",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Courtenay, BC",20,ACH,"$7,032.93",Incl.,4.0,"$1,293.70","$4,435.67",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Courtenay, BC",30,ACH,"$7,112.08",Incl.,4.0,"$1,308.13","$4,485.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Courtenay, BC",38,ACH,"$8,015.46",Incl.,6.5,"$1,473.50","$5,052.11",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standby,,$120.00,>Demerge,$28.00,$90.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Non Driving Ferry Time,,$90.00,Per Hour,$28.00,$90.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Daily Min,,$900.00,10hr Max,$300.00,$700.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Ferry / Permits,,Cost,1,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Chains,,$120.00,1,$28.00,$90.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Diversion,,$170.00,> Lane Rate,$35.00,$120.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Prelaod Request,,$500.00,Day Before,$200.00,$300.00,,,,,,,,,,,,,,,,,,,,,,,,
,,,Flush,,Incl,,$0.00,$0.00,,,,,,,,,,,,,,,,,,,,,,,,
